Number,Status,Phone,Location,Location2,Name,Categorie,Row,Col
1,영업/정상,070-8254-3630,"충청남도 천안시 동남구 안서동 384번지 외 1필지, 2층 202호 ","충청남도 천안시 동남구 문암로 74-4, 성지빌딩 2층 202호 (안서동)",카페이레,커피숍,,
2,영업/정상,0507-1402-3004,충청남도 천안시 동남구 용곡동 600번지 상가동 1층 ,"충청남도 천안시 동남구 일봉로 110, 상가동 1층 (용곡동)",단&비,커피숍,,
3,영업/정상,041-582-6439,충청남도 천안시 서북구 성환읍 매주리 332-85번지 1층 ,"충청남도 천안시 서북구 성환읍 매주4길 30, 1층",본태커피하우스,커피숍,,
4,영업/정상,041-570-8200,충청남도 천안시 동남구 신방동 784-1번지 천안산업기자재유통단지 1001호,"충청남도 천안시 동남구 신촌로 24, 1층 1001호 (신방동, 천안산업기자재유통단지)",점핑고,키즈카페,,
5,영업/정상,0507-1430-0989,충청남도 천안시 서북구 성정동 1158번지 ,"충청남도 천안시 서북구 성정중3길 22, 1층 (성정동)",스윗플로라,커피숍,,
6,영업/정상,041-584-2900,"충청남도 천안시 동남구 삼룡동 445번지 1,2층 ","충청남도 천안시 동남구 청수12로 48, 1,2층 (삼룡동)",탐앤탐스천안삼거리점,커피숍,,
7,영업/정상,041-575-0410,충청남도 천안시 서북구 쌍용동 198-3 ,"충청남도 천안시 서북구 충무로 196, 1층 (쌍용동)",빽다방천안쌍용이마트점,커피숍,,
8,영업/정상,041-571-3801,충청남도 천안시 동남구 신방동 970번지 1층 ,"충청남도 천안시 동남구 통정2길 6-29, 1층 (신방동)",커피그래비티,커피숍,,
9,영업/정상,041-555-8953,충청남도 천안시 서북구 불당동 1292 ,"충청남도 천안시 서북구 공원로 195, Mall A동 1층 (불당동, 펜타포트)",카페하인츠,커피숍,,
10,영업/정상,041-572-0468,충청남도 천안시 동남구 봉명동 222-5번지 ,"충청남도 천안시 동남구 순천향6길 38, 1층 (봉명동)",이디야커피전문점,커피숍,,
11,영업/정상,041-554-8480,충청남도 천안시 서북구 불당동 1545번지 천안불당린스트라우스1단지 상가동 115호,"충청남도 천안시 서북구 불당19로 95, 상가동동 지하2층 115호 (불당동, 천안불당린스트라우스1단지)",토프레소신불당점,커피숍,,
12,영업/정상,041-556-6066,충청남도 천안시 동남구 신부동 220-8번지 1층 ,"충청남도 천안시 동남구 단대로 119-4, 1층 (신부동)",요거프레소천안단국대점,커피숍,,
13,영업/정상,0507-1321-8867,충청남도 천안시 서북구 불당동 1614번지 천안불당지웰시티푸르지오2단지 ,"충청남도 천안시 서북구 불당26로 50, 근린생활시설4동 1층 E103호 (불당동, 천안불당지웰시티푸르지오2단지)",빽다방천안불당지웰점,커피숍,,
14,영업/정상,041-585-2992,충청남도 천안시 서북구 성환읍 매주리 21 외150필지 14동지식정보관(산학협력관)4층 ,충청남도 천안시 서북구 성환읍 성산샘길 45 (외150필지 14동지식정보관(산학협력관)4층),크레센도,커피숍,,
15,영업/정상,0507-1410-6978,충청남도 천안시 동남구 목천읍 교천리 130-1번지 1동 1층 ,"충청남도 천안시 동남구 목천읍 교천지산길 104, 1동 1층",라온,커피숍,,
16,영업/정상,041-572-1012,충청남도 천안시 서북구 성정동 1012번지 ,"충청남도 천안시 서북구 쌍용대로 233, 1~2층 (성정동)",투썸플레이스천안성정제일점,커피숍,,
17,영업/정상,041-581-0033,충청남도 천안시 서북구 성환읍 성환리 449-312번지 1동 ,"충청남도 천안시 서북구 성환읍 성환1로 235-1, 1동",소사,전통찻집,,
18,영업/정상,0507-1405-0614,충청남도 천안시 서북구 성환읍 성환리 376-5번지 ,"충청남도 천안시 서북구 성환읍 성환3로 43-14, 1~2층",앤트커피,커피숍,,
19,영업/정상,041-579-0905,충청남도 천안시 동남구 용곡동 609번지 ,"충청남도 천안시 동남구 용곡5길 34, 1층 106호 (용곡동, 용곡동일하이빌 하이씨티 4 근린생활시설)",아마렐로,커피숍,,
20,영업/정상,041-566-4584,충청남도 천안시 동남구 북면 연춘리 187-3 1층 ,"충청남도 천안시 동남구 북면 충절로 1295, 1층",커피본연춘점,커피숍,,
21,영업/정상,없어,충청남도 천안시 서북구 백석동 963번지 ,"충청남도 천안시 서북구 한들3로 78-17, 1층 (백석동)",한들오븐,커피숍,,
22,영업/정상,041-566-5148,충청남도 천안시 서북구 두정동 1499번지 ,"충청남도 천안시 서북구 두정로 238, 1,2층 (두정동)",할리스커피천안두정역점,커피숍,,
23,영업/정상,041-567-2016,충청남도 천안시 서북구 두정동 626번지 ,"충청남도 천안시 서북구 동서대로 47, 1층 (두정동)",카페드도쿄백석점,커피숍,,
24,영업/정상,041-554-0280,충청남도 천안시 동남구 목천읍 서리 36-4번지 1층 ,"충청남도 천안시 동남구 목천읍 삼방로 199, 1층",더드림,커피숍,,
25,영업/정상,041-555-7044,충청남도 천안시 동남구 신부동 462-14 1층 ,"충청남도 천안시 동남구 먹거리11길 37, 1층 (신부동)",(주)스토어하우스아마스빈신부점,커피숍,,
26,영업/정상,041-552-3242,"충청남도 천안시 동남구 신부동 495-1번지 외 2필지 1,2층 ","충청남도 천안시 동남구 신부15길 3, 1,2층 (신부동)",스타벅스천안아이씨디티점,커피숍,,
27,영업/정상,0507-1438-9488,충청남도 천안시 동남구 대흥동 71 1층 ,"충청남도 천안시 동남구 버들로 12, 1층 (대흥동)",구움,커피숍,,
28,영업/정상,041 555 2964,충청남도 천안시 동남구 안서동 115번지 ,"충청남도 천안시 동남구 문암로 76, 19(백석생활관)동 2층 (안서동)",이디야커피백석대북카페점,커피숍,,
29,영업/정상, 041 5811111,충청남도 천안시 동남구 안서동 492-1번지 ,"충청남도 천안시 동남구 천호지길 7, 2동 1층 (안서동)",주식회사카페고메,커피숍,,
30,영업/정상,010-9281-3691,충청남도 천안시 서북구 불당동 1124번지 ,"충청남도 천안시 서북구 불당5길 23, 1층 (불당동)",카페콤마,커피숍,,
31,영업/정상,041 5541687,충청남도 천안시 동남구 북면 연춘리 119-2 1층 ,"충청남도 천안시 동남구 북면 충절로 1294, 1층",사나래플라워앤카페,커피숍,,
32,영업/정상,0507-1416-7009,충청남도 천안시 서북구 불당동 1532번지 ,"충청남도 천안시 서북구 불당25로 178, 5층 505,506호 (불당동)",더카페쿠키천안점,커피숍,,
33,영업/정상,041-529-5170,충청남도 천안시 서북구 성정동 354번지 ,"충청남도 천안시 서북구 축구센터로 150, 1층 (성정동, 본관동)",축구센터커피숍,커피숍,,
34,영업/정상,041 566 8596,충청남도 천안시 동남구 신부동 456-15번지 3층 ,"충청남도 천안시 동남구 먹거리10길 12, 3층 (신부동)",투썸플레이스천안신부점,커피숍,,
35,영업/정상,041 566 8596,충청남도 천안시 동남구 신부동 456-15번지 2층 ,"충청남도 천안시 동남구 먹거리10길 12, 2층 (신부동)",투썸플레이스천안신부점,커피숍,,
36,영업/정상,041-555-3922,충청남도 천안시 동남구 병천면 병천리 289-1번지 1층 ,"충청남도 천안시 동남구 병천면 아우내순대길 19, 1층",요거프레소천안병천점,커피숍,,
37,영업/정상,041-621-0116,충청남도 천안시 서북구 차암동 435-1번지 ,"충청남도 천안시 서북구 3공단6로 50, 1층 116호 (차암동, 힐링J타워)",더모어더베러,커피숍,,
38,영업/정상,1522-3232,충청남도 천안시 서북구 쌍용동 191번지 이마트천안점 1층 ,"충청남도 천안시 서북구 충무로 187, 1층 (쌍용동, 이마트천안점)",스타벅스천안이마트점,커피숍,,
39,영업/정상,041-522-5098,충청남도 천안시 서북구 두정동 909번지 ,"충청남도 천안시 서북구 원두정10길 7, 제2동 1층 (두정동)",더벤티천안두정점,커피숍,,
40,영업/정상,없음,충청남도 천안시 동남구 신방동 1503번지 1층 ,"충청남도 천안시 동남구 통정3로 30, 1층 (신방동)",그리고제제,커피숍,,
41,영업/정상,0507-1394-3601,충청남도 천안시 동남구 신방동 1711 1층 ,"충청남도 천안시 동남구 통정12로 78, 1층 (신방동)",버터집,커피숍,,
42,영업/정상,0507-1324-5967,충청남도 천안시 동남구 신부동 87-1번지 1층 ,"충청남도 천안시 동남구 먹거리6길 8, 1층 (신부동)",디저트소밀,커피숍,,
43,영업/정상,041 557 3320,"충청남도 천안시 동남구 신부동 972번지 ,1층 ","충청남도 천안시 동남구 천안천8길 53-5 (신부동,,1층)",토프레소천안신부점,커피숍,,
44,영업/정상, 041 5609114,충청남도 천안시 동남구 수신면 장산리 669-1 외4필지 ,충청남도 천안시 동남구 수신면 수신로 576,스무디킹,커피숍,,
45,영업/정상,041-577-6232,충청남도 천안시 서북구 쌍용동 392-1번지 외2필지(1층) ,"충청남도 천안시 서북구 서부대로 297 (쌍용동,외2필지(1층))",카페베네쌍용점,커피숍,,
46,영업/정상,070-8803-9684,충청남도 천안시 서북구 백석동 1011번지 백석메디컬센터 1층 105호,"충청남도 천안시 서북구 한들3로 85-85, 1층 105호 (백석동, 백석메디컬센터)",카페보니또,커피숍,,
47,영업/정상, 041 5512733,충청남도 천안시 서북구 두정동 624 대전대학교부속천안한방병원 ,"충청남도 천안시 서북구 노태산로 4, 대전대학교부속천안한방병원 1층 (두정동)",엔제리너스두정점,커피숍,,
48,영업/정상,080 234 7575,충청남도 천안시 동남구 풍세면 용정리 995 2층(집단급식소 내 휴게음식점) ,"충청남도 천안시 동남구 풍세면 풍세산단3로 111, 2층 (집단급식소 내 휴게음식점)",카페그랑이랜드물류센터점휴게음식점,커피숍,,
49,영업/정상,없음,충청남도 천안시 동남구 신부동 462-2 1층 ,"충청남도 천안시 동남구 만남로 42, 1층 (신부동)",서진단조주식회사천안지점,커피숍,,
50,영업/정상,010-4071-8478,충청남도 천안시 서북구 두정동 68-1번지 외6필지 ,"충청남도 천안시 서북구 1공단1길 52, 1층 142호 (두정동, 센트하임프라자)",베이크움,커피숍,,
51,영업/정상,0507-1310-4645,"충청남도 천안시 동남구 목천읍 신계리 103-4번지 목천신도브래뉴1차아파트 상가동 1층 108호, 109호 ","충청남도 천안시 동남구 목천읍 신계5길 47, 상가동 1층 108호, 109호 (신도브래뉴1차아파트)",라비에벨,커피숍,,
52,영업/정상,041 569 4400,충청남도 천안시 동남구 안서동 226-20번지 ,"충청남도 천안시 동남구 각원사길 50, 1,2층 (안서동)",카메라떼안서점,커피숍,,
53,영업/정상,041-555-1880,충청남도 천안시 서북구 불당동 727번지 109호.110호 ,"충청남도 천안시 서북구 번영로 100, 1층 109,110호 (불당동)",랜디스,커피숍,,
54,영업/정상,041 552 1047,충청남도 천안시 동남구 목천읍 신계리 139-1 외2필지 1층 ,"충청남도 천안시 동남구 목천읍 목천안터1길 4, 1층",토프레소,커피숍,,
55,영업/정상,041 557 8182,"충청남도 천안시 동남구 목천읍 남화리 230-1 독립기념관 1,2층 109동 ","충청남도 천안시 동남구 목천읍 독립기념관로 1, 독립기념관 109동 1,2층",도피오커피독립기념관점,커피숍,,
56,영업/정상,041-562-1230,충청남도 천안시 서북구 두정동 525-1 ,"충청남도 천안시 서북구 봉정로 353, 상가2동 2층 201호 (두정동, 대우아파트)",카페슬해,커피숍,,
57,영업/정상,041-556-0410,충청남도 천안시 서북구 불당동 731 ,"충청남도 천안시 서북구 검은들3길 58, 1층 106호 (불당동, 메가클래스블루)",빽다방천안불당중앙점,커피숍,,
58,영업/정상, 041 5225609,충청남도 천안시 동남구 삼룡동 41-13번지 1층 ,"충청남도 천안시 동남구 충절로 537, 1층 (삼룡동)",굿타임카페,커피숍,,
59,영업/정상,041-1111-2222,"충청남도 천안시 동남구 신부동 489-1번지 외2필지, 2층 208호 ","충청남도 천안시 동남구 신부12길 19, 2층 208호 (신부동)",아이언피씨카페,커피숍,,
60,영업/정상,041 522 4261,충청남도 천안시 동남구 안서동 534-29 외 1필지 1층 ,"충청남도 천안시 동남구 각원사길 52, 1층 (안서동)",빽다방천안상명대점,커피숍,,
61,영업/정상, 041 5715278,충청남도 천안시 동남구 병천면 병천리 168-10번지 외 1필지 1층 ,"충청남도 천안시 동남구 병천면 아우내순대길 43, 1층",카페베네천안병천점,커피숍,,
